TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Mellow,Concentration,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,PPG_Ambient,PPG_IR,PPG_Red,Heart_Rate,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,TimeDifference
2023-11-09 12:52:22.917,1.0089624,0.37535363,0.048858408,0.74479866,0.67904526,0.3176009,-0.3078707,0.5403207,0.5377874,0.50683683,0.26013887,0.6292205,0.6985356,-0.11967711,-0.13559021,0.5919062,0.19585502,-0.53104305,-0.4106355,0.3524603,840.9158,828.8278,822.7839,847.76556,828.8278,0.0,0.0,-0.3197021484375,0.071044921875,0.95086669921875,2.1832275390625,-4.613189697265625,0.456085205078125,384395.6043956044,104543516.48351648,49205860.8058608,67.158585,1.0,2.0,1.0,1.0,2.0,40.0,,0 days 00:00:00.044000
2023-11-09 12:52:22.918,1.0089624,0.37535363,0.048858408,0.74479866,0.67904526,0.3176009,-0.3078707,0.5403207,0.5377874,0.50683683,0.26013887,0.6292205,0.6985356,-0.11967711,-0.13559021,0.5919062,0.19585502,-0.53104305,-0.4106355,0.3524603,826.8132,826.4103,822.7839,839.304,826.0073,0.0,0.0,-0.3197021484375,0.071044921875,0.95086669921875,2.1832275390625,-4.613189697265625,0.456085205078125,384395.6043956044,104543516.48351648,49205860.8058608,67.158585,1.0,2.0,1.0,1.0,2.0,40.0,,0 days 00:00:00.001000
2023-11-09 12:52:22.919,1.0089624,0.37535363,0.048858408,0.74479866,0.67904526,0.3176009,-0.3078707,0.5403207,0.5377874,0.50683683,0.26013887,0.6292205,0.6985356,-0.11967711,-0.13559021,0.5919062,0.19585502,-0.53104305,-0.4106355,0.3524603,805.4579,816.7399,815.12823,812.3077,823.5897,0.0,0.0,-0.3197021484375,0.071044921875,0.95086669921875,2.1832275390625,-4.613189697265625,0.456085205078125,384395.6043956044,104543516.48351648,49205860.8058608,67.158585,1.0,2.0,1.0,1.0,2.0,40.0,,0 days 00:00:00.001000
2023-11-09 12:52:22.919,1.0089624,0.38103157,0.10557874,0.74479866,0.67904526,0.32287195,-0.28150994,0.5403207,0.5377874,0.50683683,0.2503719,0.6292205,0.6985356,-0.1298073,-0.13615397,0.5919062,0.19585502,-0.52775383,-0.40935522,0.3524603,803.44324,817.1429,813.91943,811.50183,843.3333,0.0,0.0,-0.3197021484375,0.071044921875,0.95086669921875,2.1832275390625,-4.613189697265625,0.456085205078125,384395.6043956044,104543516.48351648,49205860.8058608,67.158585,1.0,2.0,1.0,1.0,2.0,40.0,,0 days 00:00:00
2023-11-09 12:52:22.924,1.0089624,0.38103157,0.10557874,0.74479866,0.67904526,0.32287195,-0.28150994,0.5403207,0.5377874,0.50683683,0.2503719,0.6292205,0.6985356,-0.1298073,-0.13615397,0.5919062,0.19585502,-0.52775383,-0.40935522,0.3524603,820.3663,820.7692,813.91943,834.87177,851.39197,0.0,0.0,-0.3197021484375,0.071044921875,0.95086669921875,2.1832275390625,-4.613189697265625,0.456085205078125,384395.6043956044,104543516.48351648,49205860.8058608,67.158585,1.0,2.0,1.0,1.0,2.0,40.0,,0 days 00:00:00.005000
2023-11-09 12:52:22.924,1.0089624,0.38103157,0.10557874,0.74479866,0.67904526,0.32287195,-0.28150994,0.5403207,0.5377874,0.50683683,0.2503719,0.6292205,0.6985356,-0.1298073,-0.13615397,0.5919062,0.19585502,-0.52775383,-0.40935522,0.3524603,828.4249,819.9634,810.293,830.84247,860.2564,0.0,0.0,-0.3197021484375,0.071044921875,0.95086669921875,2.1832275390625,-4.613189697265625,0.456085205078125,384395.6043956044,104543516.48351648,49205860.8058608,67.158585,1.0,2.0,1.0,1.0,2.0,40.0,,0 days 00:00:00
2023-11-09 12:52:22.925,1.0089624,0.38103157,0.10557874,0.74479866,0.67904526,0.32287195,-0.28150994,0.5403207,0.5377874,0.50683683,0.2503719,0.6292205,0.6985356,-0.1298073,-0.13615397,0.5919062,0.19585502,-0.52775383,-0.40935522,0.3524603,803.0403,822.381,811.50183,802.6374,872.74725,0.0,0.0,-0.3197021484375,0.071044921875,0.95086669921875,2.1832275390625,-4.613189697265625,0.456085205078125,384395.6043956044,104543516.48351648,49205860.8058608,67.158585,1.0,2.0,1.0,1.0,2.0,40.0,,0 days 00:00:00.001000
2023-11-09 12:52:22.925,1.0089624,0.38103157,0.10557874,0.74479866,0.67904526,0.32287195,-0.28150994,0.5403207,0.5377874,0.50683683,0.2503719,0.6292205,0.6985356,-0.1298073,-0.13615397,0.5919062,0.19585502,-0.52775383,-0.40935522,0.3524603,798.60803,821.978,811.0989,801.4286,1046.4103,0.0,0.0,-0.3197021484375,0.071044921875,0.95086669921875,2.1832275390625,-4.613189697265625,0.456085205078125,384395.6043956044,104543516.48351648,49205860.8058608,67.158585,1.0,2.0,1.0,1.0,2.0,40.0,,0 days 00:00:00
2023-11-09 12:52:22.926,1.0089624,0.38103157,0.10557874,0.74479866,0.67904526,0.32287195,-0.28150994,0.5403207,0.5377874,0.50683683,0.2503719,0.6292205,0.6985356,-0.1298073,-0.13615397,0.5919062,0.19585502,-0.52775383,-0.40935522,0.3524603,822.381,817.9487,810.293,831.2454,1199.5238,0.0,0.0,-0.3197021484375,0.071044921875,0.95086669921875,2.1832275390625,-4.613189697265625,0.456085205078125,384395.6043956044,104543516.48351648,49205860.8058608,67.158585,1.0,2.0,1.0,1.0,2.0,40.0,,0 days 00:00:00.001000
2023-11-09 12:52:22.926,1.0089624,0.38103157,0.10557874,0.74479866,0.67904526,0.32287195,-0.28150994,0.5403207,0.5377874,0.50683683,0.2503719,0.6292205,0.6985356,-0.1298073,-0.13615397,0.5919062,0.19585502,-0.52775383,-0.40935522,0.3524603,832.4542,826.4103,819.5604,836.08057,920.696,0.0,0.0,-0.3197021484375,0.071044921875,0.95086669921875,2.1832275390625,-4.613189697265625,0.456085205078125,384395.6043956044,104543516.48351648,49205860.8058608,67.158585,1.0,2.0,1.0,1.0,2.0,40.0,,0 days 00:00:00
2023-11-09 12:52:22.927,1.0089624,0.38103157,0.10557874,0.74479866,0.67904526,0.32287195,-0.28150994,0.5403207,0.5377874,0.50683683,0.2503719,0.6292205,0.6985356,-0.1298073,-0.13615397,0.5919062,0.19585502,-0.52775383,-0.40935522,0.3524603,821.978,830.84247,817.5458,819.15753,723.663,0.0,0.0,-0.3197021484375,0.071044921875,0.95086669921875,2.1832275390625,-4.613189697265625,0.456085205078125,384395.6043956044,104543516.48351648,49205860.8058608,67.158585,1.0,2.0,1.0,1.0,2.0,40.0,,0 days 00:00:00.001000
